No,Name,RTime,HTime,STemp,RPress,SRotation,cTemp,Loop,Jump,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,E01,E02,E03,E04,E05,E06,E07,V01,V02,V03,V04,V05,V07,V08,V10,V11,V13,V14,V16,V17,V19,V20,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32
1,Evacuation,5,1,0,4,6,0,0,0,150,160,500,10,3,25,10,15,15,10,10,10,125,5,50,50,50,50,50,1500,900,1200,1200,1200,1200,1200,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
2,N2 filling,3,2,0,0,0,0,0,0,3000,3000,500,10,3,25,10,15,15,10,10,20,150,10,50,500,1500,50,50,1500,900,1200,1200,1200,1200,1200,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
3,Evacuation,6,3,1100,0,0,0,0,0,150,150,500,10,3,25,10,15,15,10,10,10,125,5,50,50,50,50,50,1500,900,1200,1200,1200,1200,1200,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
4,H2 Flow Set,4,2,720,0,0,720,3,2,3000,3000,500,10,3,25,10,15,15,10,10,10,125,5,50,500,1500,50,50,1500,900,1200,1200,1200,1200,1200,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
5,Temp Up Pre,7,1,100,12,0,0,0,0,3000,3000,300,10,3,25,10,15,15,10,10,10,125,5,50,500,1500,50,50,1500,900,1200,1200,1200,1200,1200,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
6,Temp Up to T Etching 1,5,2,900,0,0,0,0,0,3000,3000,500,10,3,25,10,15,15,10,10,10,125,5,50,500,1500,50,50,1500,900,1200,1200,1200,1200,1200,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
7,Temp Up to T Etching 2,3,3,1100,0,0,0,0,0,3000,3000,500,10,3,25,10,15,15,10,10,10,125,5,50,500,1500,50,50,1500,900,1200,1200,1200,1200,1200,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
8,Thermal Etching,5,2,540,0,0,540,0,0,3000,3000,500,10,3,25,10,15,15,12,12,10,125,5,50,500,1500,50,50,1500,900,1200,1200,1200,1200,1200,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
9,Temp Down to Buffer,4,1,100,0,0,0,3,7,3000,1000,500,10,3,25,10,15,15,12,12,10,125,5,50,500,1500,50,50,1500,900,1200,1200,1200,1200,1200,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
10,Recipe End,2,2,0,0,0,0,0,0,1000,1000,500,10,3,25,10,50,50,10,10,10,125,5,100,250,500,50,50,1500,900,1200,1200,1200,1200,1200,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
